,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
41332,1076176,125,WEST   55 STREET,MANHATTAN,105,M00546730-I1-GC,M8482173,AHV Permit Issued,Initial,Public Safety,08/04/2021 06:00:00 PM,08/05/2021 01:00:00 AM,true,true,true,false,40.763514,-73.979276,5,4,137,1010080019,Midtown-Midtown South
57098,3257035,60,FLEET WALK,BROOKLYN,302,"B00325179-I1-SH, B00325307-I1-FN, B00352338-I1-SF",B5069556,AHV Permit Issued,Initial,Public Safety,10/23/2021 08:00:00 AM,10/23/2021 06:00:00 PM,true,false,false,false,40.694196,-73.981861,2,35,15,3020500001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
54646,1036151,125,PARK AVENUE,MANHATTAN,105,"M00578958-I1-GC, M00578975-I1-MS",M3208412,AHV Permit Issued,Initial,Public Safety,10/13/2021 06:00:00 PM,10/14/2021 02:00:00 AM,true,true,true,false,40.751681,-73.977677,5,4,80,1012960001,Murray Hill-Kips Bay
12160,1090825,10,VANDERBILT AVENUE,MANHATTAN,105,M00246737-I1-ST,M9246171,Approved,Initial,Construction activities with minimal noise impact,07/17/2020 06:00:00 PM,07/18/2020 02:00:00 AM,false,true,false,false,40.752732,-73.978138,5,4,94,1012770027,Midtown-Midtown South
56934,3257037,38,FLEET WALK,BROOKLYN,302,"B00325449-I1-SH, B00330235-I1-FN, B00352341-I1-SF",B3195540,AHV Permit Issued,Initial,Public Safety,10/23/2021 08:00:00 AM,10/23/2021 06:00:00 PM,true,false,false,false,40.69469,-73.981735,2,35,15,3020500001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
48630,1034510,1290,AVENUE OF THE AMERICAS,MANHATTAN,105,M00512393-I1-EW-SP,M6839016,AHV Permit Issued,Initial,Undue Hardship,09/04/2021 06:00:00 AM,09/04/2021 05:00:00 PM,false,true,false,false,40.760857,-73.979717,5,4,104,1012670001,Midtown-Midtown South
33274,1082153,605,3 AVENUE,MANHATTAN,106,M00538040-I1-GC,M3249905,AHV Permit Issued,Initial,Public Safety,07/22/2021 10:00:00 PM,07/23/2021 02:00:00 AM,true,true,false,false,40.749076,-73.975682,6,4,88,1009200012,Turtle Bay-East Midtown
2459,4615628,28-07,JACKSON AVENUE,QUEENS,402,Q00323907-I1-PL,Q9535108,AHV Permit Issued,Initial,Construction activities with minimal noise impact,08/29/2020 07:00:00 AM,08/29/2020 03:30:00 PM,false,true,false,false,40.748434,-73.938768,2,26,19,4004200001,Hunters Point-Sunnyside-West Maspeth
9843,2092113,500,EAST 171 STREET,BRONX,203,X00217267-I1-SH,X2527597,AHV Permit Issued,Initial,Emergency Work,11/27/2019 06:00:00 PM,11/27/2019 10:00:00 PM,true,false,false,false,40.837489,-73.902916,3,16,14702,2029110001,Claremont-Bathgate
13857,3332221,465,COLUMBIA STREET,BROOKLYN,306,B00063884-I1-FN,B6504641,AHV Permit Issued,Renewal,Public Safety,07/20/2019 08:00:00 AM,07/20/2019 04:30:00 PM,true,false,false,false,40.676375,-74.006861,6,38,85,3005380001,Carroll Gardens-Columbia Street-Red Hook
59701,1813346,1,MANHATTAN PLAZA,MANHATTAN,118,M00620622-I1-GC,M6570610,AHV Permit Issued,Initial,Construction activities with minimal noise impact,11/25/2021 06:00:00 PM,11/25/2021 11:59:00 PM,false,false,false,false,,,,,,,
66713,1015732,260,FIFTH AVENUE,MANHATTAN,105,M00567041-I1-GC,M2509042,AHV Permit Rejected,Initial,Public Safety,12/17/2021 06:00:00 PM,12/17/2021 09:00:00 PM,true,false,true,false,40.745037,-73.987048,5,4,76,1008300042,Midtown-Midtown South
47694,1035380,545,FIFTH AVENUE,MANHATTAN,105,M00580138-I1-GC,M3505098,AHV Permit Issued,Renewal,Public Safety,10/02/2021 08:00:00 AM,10/02/2021 04:00:00 PM,true,true,false,false,40.755164,-73.979188,5,4,94,1012790069,Midtown-Midtown South
3552,1035792,727,5 AVENUE,MANHATTAN,105,M00354278-I1-SF,M4575731,AHV Permit Issued,Initial,Public Safety,09/25/2020 10:00:00 PM,09/26/2020 06:00:00 AM,true,false,false,false,40.762569,-73.974247,5,4,11202,1012920069,Midtown-Midtown South
14304,3189511,2950,WEST 35 STREET,BROOKLYN,313,B00014875-I1-FN,B7643510,AHV Permit Issued,Initial,City Construction Project,03/17/2018 08:00:00 AM,03/17/2018 05:00:00 PM,true,false,false,false,40.573838,-74.000493,13,47,342,3070460022,Seagate-Coney Island
