,BIN,HouseNumber,StreetName,Borough,CBNo,WorkPermitNumber,AHV Permit Number,AHVPermitStatus,VarianceType,reasonforvariance,Variance Start Date-Time,Variance End Date-Time,Is_a_residence_within_200feet_of_the_site,Is_all_the_work_within_an_enclosed_building,Does_work_involve_full_or_partial_demolition,Does_any_of_the_work_involve_crane_use,Latitude,Longitude,Community Board,Council District,Census Tract,BBL,NTA
13446,1076195,1601,BROADWAY,MANHATTAN,105,002116091,1006336,AHV PERMIT REJECTED,INITIAL,PUBLIC SAFETY,11/18/2019 06:00:00 PM,11/19/2019 07:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.760375,-73.985189,5,3,125,1010200046,MIDTOWN-MIDTOWN SOUTH
5276,1035792,727,5 AVE,MANHATTAN,105,002170471,7225887,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/31/2019 09:00:00 PM,11/01/2019 06:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.762569,-73.974247,5,4,11202,1012920069,MIDTOWN-MIDTOWN SOUTH
27135,1083860,45,ROCKEFELLER PLZ,MANHATTAN,105,004928781,3482241,AHV PERMIT REJECTED,INITIAL,CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,06/19/2021 06:00:00 AM,06/19/2021 06:00:00 PM,FALSE,FALSE,FALSE,TRUE,40.759204,-73.978335,5,4,104,1012660001,MIDTOWN-MIDTOWN SOUTH
2283,1022709,1271,AVENUE OF THE AMERICAS,MANHATTAN,105,003441971003443101003443151,7117054,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/22/2020 06:00:00 PM,10/23/2020 07:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.760289,-73.980157,5,4,131,1010030029,MIDTOWN-MIDTOWN SOUTH
55589,1034485,590,5 AVE,MANHATTAN,105,005858071,8915764,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,10/07/2021 06:00:00 PM,10/08/2021 02:00:00 AM,TRUE,TRUE,TRUE,FALSE,40.757066,-73.978285,5,4,96,1012630038,MIDTOWN-MIDTOWN SOUTH
58790,1007825,160,VARICK ST,MANHATTAN,102,004960161,5592182,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,11/13/2021 09:00:00 AM,11/13/2021 05:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.726615,-74.005617,2,3,37,1005067501,SOHO-TRIBECA-CIVIC CENTER-LITTLE ITALY
34115,1035788,32,EAST 57 ST,MANHATTAN,105,005306811,1028947,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,06/23/2021 06:00:00 PM,06/24/2021 06:00:00 AM,TRUE,FALSE,FALSE,FALSE,40.762162,-73.972082,5,4,11202,1012920048,MIDTOWN-MIDTOWN SOUTH
13379,1080922,460,WEST 41 ST,MANHATTAN,104,000785131,9676886,AHV PERMIT ISSUED,INITIAL,PUBLIC SAFETY,03/16/2019 07:00:00 AM,03/16/2019 05:00:00 PM,TRUE,FALSE,FALSE,FALSE,40.758655,-73.995116,4,3,115,1010500001,CLINTON
62272,1046429,15,EAST 79 ST,MANHATTAN,108,004958701,5737327,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,11/18/2021 06:00:00 PM,11/18/2021 09:00:00 PM,TRUE,TRUE,FALSE,FALSE,40.776701,-73.962991,8,4,142,1014910008,UPPER EAST SIDE-CARNEGIE HILL
48427,1000005,1,NEW YORK PLZ,MANHATTAN,101,005038241005041951,1716540,AHV PERMIT ISSUED,RENEWAL,PUBLIC SAFETY,09/29/2021 06:00:00 PM,09/30/2021 02:00:00 AM,TRUE,TRUE,FALSE,FALSE,40.70254,-74.012562,1,1,9,1000047501,BATTERY PARK CITY-LOWER MANHATTAN
