,Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
270828,BROOKLYN,303,3852390,267,FRANKLIN AVE,3410442,04/30/2012 12:00:00 AM,07/30/2014 12:00:00 AM
265253,MANHATTAN,110,1813229,113,WEST 138 ST,1323787,04/30/2012 12:00:00 AM,07/20/2014 12:00:00 AM
388253,STATEN ISLAND,501,5818483,24,STUYVESANT PLACE,5082330,12/07/2009 12:00:00 AM,02/08/2017 12:00:00 AM
804793,QUEENS,412,4539003,107-31,155 ST,4521332,07/13/2012 12:00:00 AM,04/22/2018 12:00:00 AM
1043272,BRONX,208,2127320,3198,CAMBRIDGE AVE,2129416,04/23/2009 12:00:00 AM,02/07/2021 12:00:00 AM
284492,QUEENS,412,4826171,178-02,HILLSIDE AVE,4506888,02/09/2012 12:00:00 AM,08/26/2014 12:00:00 AM
869535,MANHATTAN,103,1803979,126,HESTER ST,1256042,05/12/2009 12:00:00 AM,01/04/2019 12:00:00 AM
641877,MANHATTAN,111,1813348,410,EAST 115 ST,1319249,02/27/2012 12:00:00 AM,10/31/2016 12:00:00 AM
1056425,QUEENS,407,4617360,132-03,41 RD,4552830,07/02/2013 12:00:00 AM,04/08/2021 12:00:00 AM
155854,MANHATTAN,110,1059067,2173,FREDERICK DOUGLAS BLVD,1355421,08/29/2013 12:00:00 AM,01/06/2014 12:00:00 AM
